INFO  - 2016-09-01 23:37:12.541; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf}
INFO  - 2016-09-01 23:37:12.542; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf
INFO  - 2016-09-01 23:37:12.551; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf
INFO  - 2016-09-01 23:37:12.551; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2016-09-01 23:37:12.551; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2016-09-01 23:37:12.552; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf
INFO  - 2016-09-01 23:37:12.553; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf
INFO  - 2016-09-01 23:37:12.554; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2016-09-01 23:37:12.554; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2016-09-01 23:37:12.554; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2016-09-01 23:37:12.555; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf
INFO  - 2016-09-01 23:37:12.557; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/example/solr/collection1/conf
INFO  - 2016-09-01 23:37:12.557; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2016-09-01 23:37:12.558; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
